Image Number,Label,x1,y1,x2,y2,x3,y3,x4,y4
0,bicycle_detr_whole,138,114,992,114,992,748,138,748
1,bicycle_detr_whole,310,218,1064,218,1064,752,310,752
2,bicycle_detr_whole,346,206,980,206,980,760,346,760
3,bicycle_detr_whole,400,80,778,80,778,800.5,400,800.5
4,bicycle_detr_whole,908,132,1418,132,1418,688,908,688
5,person_detr_whole,500,52,756,52,756,776,500,776
6,person_detr_whole,372,58,1134,58,1134,800.5,372,800.5
7,person_detr_whole,158,146,966,146,966,734,158,734
8,person_detr_whole,278,21.9999999999999,890,21.9999999999999,890,800.5,278,800.5
9,person_detr_whole,742,72,1662,72,1662,800.5,742,800.5
10,car_detr_whole,194,258,1336,258,1336,752,194,752
11,car_detr_whole,186,156,1154,156,1154,646,186,646
12,car_detr_whole,162,288,534,288,534,750,162,750
13,car_detr_whole,116,22,982,22,982,552,116,552
14,car_detr_whole,126,208,764,208,764,600,126,600
15,airplane_detr_whole,85.9999999999998,300,616,300,616,528,85.9999999999998,528
16,airplane_detr_whole,296,240,950,240,950,482,296,482
17,airplane_detr_whole,358,372,1052,372,1052,544,358,544
18,airplane_detr_whole,88,340,1118,340,1118,598,88,598
19,airplane_detr_whole,28,150,748,150,748,608,28,608
20,bus_detr_whole,318,368,1120,368,1120,688,318,688
21,bus_detr_whole,47.9999999999999,404,1232,404,1232,760,47.9999999999999,760
22,bus_detr_whole,646,172,1600.5,172,1600.5,612,646,612
23,bus_detr_whole,288,91.9999999999999,942,91.9999999999999,942,800.5,288,800.5
24,bus_detr_whole,532,200,920,200,920,594,532,594
25,fire hydrant_detr_whole,284,55.9999999999999,638,55.9999999999999,638,758,284,758
26,fire hydrant_detr_whole,894,124,1106,124,1106,594,894,594
27,fire hydrant_detr_whole,290,142,608,142,608,674,290,674
28,fire hydrant_detr_whole,0.5,220.892950391645,800.5,220.892950391645,800.5,957.97911227154,0.5,957.97911227154
29,fire hydrant_detr_whole,364,65.9999999999999,848,65.9999999999999,848,800.5,364,800.5
30,bird_detr_whole,130,71.9999999999999,812,71.9999999999999,812,660,130,660
31,bird_detr_whole,418,128,1272,128,1272,800.5,418,800.5
32,bird_detr_whole,562,184,854,184,854,562,562,562
33,bird_detr_whole,46,68,990,68,990,772,46,772
34,bird_detr_whole,252,0.5,1020,0.5,1020,616,252,616
35,cat_detr_whole,430,95.9999999999999,848,95.9999999999999,848,484,430,484
36,cat_detr_whole,138,0.5,708,0.5,708,800.5,138,800.5
37,cat_detr_whole,448,126,1182,126,1182,680,448,680
38,cat_detr_whole,132,140,1158,140,1158,548,132,548
39,cat_detr_whole,328,75.9999999999999,986,75.9999999999999,986,800.5,328,800.5
40,dog_detr_whole,366,64,876,64,876,800.5,366,800.5
41,dog_detr_whole,484,86,906,86,906,736,484,736
42,dog_detr_whole,418,95.9999999999999,922,95.9999999999999,922,750,418,750
43,dog_detr_whole,27.9999999999999,17.9999999999999,1268,17.9999999999999,1268,712,27.9999999999999,712
44,dog_detr_whole,23.9999999999999,124,1506,124,1506,672,23.9999999999999,672
45,elephant_detr_whole,450,148,926,148,926,588,450,588
46,elephant_detr_whole,376,196,942,196,942,774,376,774
47,elephant_detr_whole,424,220,844,220,844,650,424,650
48,elephant_detr_whole,62,240,562,240,562,768,62,768
49,elephant_detr_whole,158,77.9999999999999,992,77.9999999999999,992,750,158,750
50,zebra_detr_whole,352,27.9999999999999,986,27.9999999999999,986,766,352,766
51,zebra_detr_whole,346,122,1094,122,1094,738,346,738
52,zebra_detr_whole,306,65.9999999999999,880,65.9999999999999,880,680,306,680
53,zebra_detr_whole,32,71.9999999999999,982,71.9999999999999,982,800.5,32,800.5
54,zebra_detr_whole,126,167,800.5,167,800.5,715,126,715
55,backpack_detr_whole,96.8414634146341,303.113240418118,753.287456445993,303.113240418118,753.287456445993,1122.62543554007,96.8414634146341,1122.62543554007
56,backpack_detr_whole,600,262,1032,262,1032,760,600,760
57,backpack_detr_whole,370,128,670,128,670,708,370,708
58,backpack_detr_whole,312,0.5,902,0.5,902,800.5,312,800.5
59,backpack_detr_whole,71.9999999999999,0.5,1068,0.5,1068,706,71.9999999999999,706
60,umbrella_detr_whole,0.5,0.5,1200.5,0.5,1200.5,432,0.5,432
61,umbrella_detr_whole,1.99999999999977,174,696,174,696,496,1.99999999999977,496
62,umbrella_detr_whole,0.5,0.5,800.5,0.5,800.5,800.5,0.5,800.5
63,umbrella_detr_whole,48,114,934,114,934,718,48,718
64,umbrella_detr_whole,0.5,116,1067.5,116,1067.5,748,0.5,748
65,parking meter_detr_whole,0.5,180,800.5,180,800.5,658,0.5,658
66,parking meter_detr_whole,234,100,752,100,752,360,234,360
67,parking meter_detr_whole,68,86,622,86,622,930,68,930
68,parking meter_detr_whole,0.5,367.501307759372,800.5,367.501307759372,800.5,966.430688753269,0.5,966.430688753269
69,parking meter_detr_whole,0.5,0.5,800.5,0.5,800.5,1066.5,0.5,1066.5
70,stop sign_detr_whole,0.5,33.9999999999999,1200.5,33.9999999999999,1200.5,800.5,0.5,800.5
71,stop sign_detr_whole,140,224,656,224,656,558,140,558
72,stop sign_detr_whole,238,212,468,212,468,772,238,772
73,stop sign_detr_whole,58,0.5,956,0.5,956,588,58,588
74,stop sign_detr_whole,176,250,1078,250,1078,800.5,176,800.5
75,wine glass_detr_whole,398,104,812,104,812,782,398,782
76,wine glass_detr_whole,272,201,562,201,562,885,272,885
77,wine glass_detr_whole,157.671167247387,392.681620209059,650.639808362369,392.681620209059,650.639808362369,1157.20078397213,157.671167247387,1157.20078397213
78,wine glass_detr_whole,240,0.5,738,0.5,738,800.5,240,800.5
79,wine glass_detr_whole,108,88,560,88,560,800.5,108,800.5
80,scissors_detr_whole,284,306,742,306,742,620,284,620
81,scissors_detr_whole,0.5,246,564,246,564,716,0.5,716
82,scissors_detr_whole,118,44.0000000000001,1043.5,44.0000000000001,1043.5,800.5,118,800.5
83,scissors_detr_whole,0.5,308,612,308,612,630,0.5,630
84,scissors_detr_whole,360,248,1201.5,248,1201.5,590,360,590
85,mouse_detr_whole,0.5,47.9999999999999,734,47.9999999999999,734,744,0.5,744
86,mouse_detr_whole,114,252,642,252,642,618,114,618
87,mouse_detr_whole,612,120,1666,120,1666,586,612,586
88,mouse_detr_whole,0.5,286,1200.5,286,1200.5,692,0.5,692
89,mouse_detr_whole,0.5,150,488,150,488,622,0.5,622
90,vase_detr_whole,582,47.9999999999999,964,47.9999999999999,964,800.5,582,800.5
91,vase_detr_whole,108,214,690,214,690,800.5,108,800.5
92,vase_detr_whole,208,27.9999999999999,546,27.9999999999999,546,152,208,152
93,vase_detr_whole,248,108,800.5,108,800.5,800.5,248,800.5
94,vase_detr_whole,254,174,530,174,530,772,254,772
95,cup_detr_whole,162,224,602,224,602,580,162,580
96,cup_detr_whole,116,312,654,312,654,578,116,578
97,cup_detr_whole,590,372,898,372,898,800.5,590,800.5
98,cup_detr_whole,430,496,778,496,778,704,430,704
99,cup_detr_whole,236,57.9999999999999,846,57.9999999999999,846,550,236,550
