Image Number,Label,x1,y1,x2,y2,x3,y3,x4,y4
0,bicycle_yolo_whole,94.9478844169248,71.5505675954593,347.381320949432,71.5505675954593,347.381320949432,354.03560371517,94.9478844169248,354.03560371517
1,bicycle_yolo_whole,21.1068111455109,214.939628482972,282.985036119711,214.939628482972,282.985036119711,391.81475748194,21.1068111455109,391.81475748194
2,bicycle_yolo_whole,62.3204334365326,0.5,338.795149638803,0.5,338.795149638803,287.06346749226,62.3204334365326,287.06346749226
3,bicycle_yolo_whole,155.051083591331,235.546439628483,280.409184726522,235.546439628483,280.409184726522,379.794117647059,155.051083591331,379.794117647059
4,bicycle_yolo_whole,254,208,368,208,368,330,254,330
5,person_yolo_whole,186,45.9999999999999,382,45.9999999999999,382,374,186,374
6,person_yolo_whole,106,67.9999999999999,232,67.9999999999999,232,336,106,336
7,person_yolo_whole,114,154,236,154,236,284,114,284
8,person_yolo_whole,108,140,236,140,236,310,108,310
9,person_yolo_whole,0.5,232,316,232,316,416.5,0.5,416.5
10,car_yolo_whole,0.5,0.5,305.309081527348,0.5,305.309081527348,134.229618163055,0.5,134.229618163055
11,car_yolo_whole,96.6651186790506,199.484520123839,260.660990712074,199.484520123839,260.660990712074,269.891124871001,96.6651186790506,269.891124871001
12,car_yolo_whole,74.3410732714139,16.5990712074303,374.857069143447,16.5990712074303,374.857069143447,159.12951496388,74.3410732714139,159.12951496388
13,car_yolo_whole,27.1171310629516,145.391640866873,350.815789473684,145.391640866873,350.815789473684,302.518575851393,27.1171310629516,302.518575851393
14,car_yolo_whole,22.8240454076368,0.5,295.864293085655,0.5,295.864293085655,267.315273477812,22.8240454076368,267.315273477812
15,airplane_yolo_whole,54.592879256966,19.1749226006192,330.208978328173,19.1749226006192,330.208978328173,263.022187822497,54.592879256966,263.022187822497
16,airplane_yolo_whole,58.8859649122808,26.0438596491228,334.502063983488,26.0438596491228,334.502063983488,255.294633642931,58.8859649122808,255.294633642931
17,airplane_yolo_whole,29.6929824561404,18.3163054695563,389.453560371517,18.3163054695563,389.453560371517,140.239938080495,29.6929824561404,140.239938080495
18,airplane_yolo_whole,79.4927760577916,0.5,401.474200206398,0.5,401.474200206398,142.815789473684,79.4927760577916,142.815789473684
19,airplane_yolo_whole,27.1171310629516,0.5,386.877708978328,0.5,386.877708978328,387.521671826625,27.1171310629516,387.521671826625
20,bus_yolo_whole,99.2409700722395,217.515479876161,354.250257997936,217.515479876161,354.250257997936,318.832301341589,99.2409700722395,318.832301341589
21,bus_yolo_whole,126.716718266254,27.7610939112487,353.391640866873,27.7610939112487,353.391640866873,243.27399380805,126.716718266254,243.27399380805
22,bus_yolo_whole,179.092363261094,149.684726522188,297.581527347781,149.684726522188,297.581527347781,266.456656346749,179.092363261094,266.456656346749
23,bus_yolo_whole,0.5,32.0541795665634,394.605263157895,32.0541795665634,394.605263157895,172.867389060888,0.5,172.867389060888
24,bus_yolo_whole,25.3998968008257,0.5,200.557791537668,0.5,200.557791537668,416.5,25.3998968008257,416.5
25,fire hydrant_yolo_whole,115.554695562436,87.8642930856553,239.195562435501,87.8642930856553,239.195562435501,390.956140350877,115.554695562436,390.956140350877
26,fire hydrant_yolo_whole,257.226522187823,117.057275541796,416.5,117.057275541796,416.5,263.022187822497,257.226522187823,263.022187822497
27,fire hydrant_yolo_whole,122.423632610939,95.5918472652219,226.316305469556,95.5918472652219,226.316305469556,275.042827657379,122.423632610939,275.042827657379
28,fire hydrant_yolo_whole,167.930340557276,213.222394220846,255.509287925697,213.222394220846,255.509287925697,320.549535603715,167.930340557276,320.549535603715
29,fire hydrant_yolo_whole,159.344169246646,146.250257997936,270.105779153767,146.250257997936,270.105779153767,300.801341589267,159.344169246646,300.801341589267
30,bird_yolo_whole,82.0686274509804,0.5,325.057275541796,0.5,325.057275541796,234.68782249742,82.0686274509804,234.68782249742
31,bird_yolo_whole,126.716718266254,74.1264189886481,286.419504643963,74.1264189886481,286.419504643963,289.639318885449,126.716718266254,289.639318885449
32,bird_yolo_whole,26.2585139318886,194.332817337461,282.985036119711,194.332817337461,282.985036119711,356.611455108359,26.2585139318886,356.611455108359
33,bird_yolo_whole,126.716718266254,98.1676986584107,315.612487100103,98.1676986584107,315.612487100103,267.315273477812,126.716718266254,267.315273477812
34,bird_yolo_whole,31.4102167182663,0.5,385.160474716202,0.5,385.160474716202,187.463880288958,31.4102167182663,187.463880288958
35,cat_yolo_whole,131.009803921569,173.72600619195,286.419504643963,173.72600619195,286.419504643963,344.590815273478,131.009803921569,344.590815273478
36,cat_yolo_whole,143.889060887513,93.874613003096,256.36790505676,93.874613003096,256.36790505676,220.09133126935,143.889060887513,220.09133126935
37,cat_yolo_whole,0.5,0.5,416.5,0.5,416.5,416.5,0.5,416.5
38,cat_yolo_whole,186,174.5,362,174.5,362,354.5,186,354.5
39,cat_yolo_whole,238,41.9999999999999,400,41.9999999999999,400,236,238,236
40,dog_yolo_whole,34,110,312,110,312,416.5,34,416.5
41,dog_yolo_whole,226,97.9999999999999,344,97.9999999999999,344,256,226,256
42,dog_yolo_whole,162,168,286,168,286,292,162,292
43,dog_yolo_whole,200,162,306,162,306,292,200,292
44,dog_yolo_whole,158,176,268,176,268,280,158,280
45,elephant_yolo_whole,0.5,23.9999999999999,354,23.9999999999999,354,264,0.5,264
46,elephant_yolo_whole,146,128,266,128,266,256,146,256
47,elephant_yolo_whole,50,47.9999999999999,262,47.9999999999999,262,256,50,256
48,elephant_yolo_whole,0.5,0.5,416.5,0.5,416.5,328,0.5,328
49,elephant_yolo_whole,178,23.9999999999999,288,23.9999999999999,288,320,178,320
50,zebra_yolo_whole,0.5,0.5,352,0.5,352,348,0.5,348
51,zebra_yolo_whole,114,97.9999999999999,388,97.9999999999999,388,304,114,304
52,zebra_yolo_whole,60,89.9999999999999,280,89.9999999999999,280,416.5,60,416.5
53,zebra_yolo_whole,168,61.9999999999999,348,61.9999999999999,348,278,168,278
54,zebra_yolo_whole,66,91.9999999999999,416.5,91.9999999999999,416.5,306,66,306
55,backpack_yolo_whole,336,25.9999999999999,394,25.9999999999999,394,71.9999999999999,336,71.9999999999999
